Query_ID,Timestamp,Region,Customer_Type,Category,Query_Text,Resolution_Time_Hours,Escalated
1,2025-11-08 14:19:25.227568,Mashonaland Central,Residential,Account Suspension,Account suspended despite payment.,21,No
2,2025-12-03 15:53:25.227568,Harare,Residential,Payment Failure,Payment made but account not reconnected.,60,No
3,2025-11-29 11:39:25.227568,Mashonaland Central,Commercial,Decoder Fault,Decoder rebooting or not powering on.,16,Yes
4,2025-10-18 13:45:25.227568,Mashonaland West,Residential,Account Suspension,Account suspended despite payment.,1,No
5,2025-10-03 19:28:25.227568,Harare,Residential,Payment Failure,Payment made but account not reconnected.,49,Yes
6,2025-11-03 12:11:25.227568,Masvingo,Residential,Decoder Fault,Decoder rebooting or not powering on.,7,Yes
7,2025-09-22 13:54:25.227568,Harare,Residential,Account Suspension,Account suspended despite payment.,12,No
8,2025-09-26 00:41:25.227568,Matabeleland South,Residential,Payment Failure,Payment made but account not reconnected.,19,No
9,2025-10-12 07:21:25.227568,Matabeleland North,Residential,Subscription Renewal,Customer requesting subscription renewal.,47,No
10,2025-09-18 18:05:25.227568,Midlands,Residential,Signal Loss,Poor signal reception reported.,16,No
11,2025-12-10 20:54:25.227568,Mashonaland Central,Residential,Decoder Fault,Decoder rebooting or not powering on.,13,Yes
12,2025-12-09 08:13:25.227568,Mashonaland East,Commercial,Payment Failure,Payment made but account not reconnected.,45,No
13,2025-12-09 04:31:25.227568,Harare,Commercial,E16 Error,Customer experiencing E16 error; channels not showing.,36,No
14,2025-10-15 21:53:25.227568,Mashonaland West,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,55,No
15,2025-10-13 12:23:25.227568,Mashonaland West,Residential,Signal Loss,Poor signal reception reported.,2,Yes
16,2025-11-27 18:28:25.227568,Mashonaland West,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,39,No
17,2025-10-23 04:59:25.227568,Matabeleland South,Residential,Subscription Renewal,Customer requesting subscription renewal.,69,No
18,2025-10-06 06:50:25.227568,Bulawayo,Residential,Signal Loss,Poor signal reception reported.,69,Yes
19,2025-09-20 10:38:25.227568,Matabeleland South,Residential,Signal Loss,Poor signal reception reported.,62,No
20,2025-10-05 10:14:25.227568,Manicaland,Commercial,Bouquet Upgrade,Customer wants to upgrade bouquet.,57,No
21,2025-12-04 21:55:25.227568,Mashonaland West,Residential,Account Suspension,Account suspended despite payment.,58,Yes
22,2025-12-12 05:52:25.227568,Mashonaland Central,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,5,No
23,2025-09-28 02:56:25.227568,Harare,Residential,Account Suspension,Account suspended despite payment.,49,No
24,2025-09-27 14:41:25.227568,Masvingo,Residential,Decoder Fault,Decoder rebooting or not powering on.,50,No
